V1,V2
1704,1871
55,2239
238,1911
1055,75
2095,857
666,437
131,1397
364,1153
384,259
331,1320
250,1514
1867,2327
2431,1098
872,1031
1067,272
1674,2221
1876,2355
267,1993
261,1469
31,1284
127,750
359,1802
883,1548
37,1739
885,744
2354,2304
1667,342
2155,1999
1007,95
1582,230
736,777
2274,1253
2494,2253
72,1323
2340,1529
118,1724
1083,450
1016,92
555,5
178,1272
1592,2354
68,1636
52,1771
2142,2486
250,2063
1187,145
2091,1877
242,188
458,1908
379,729
6,2040
1122,1371
522,501
52,2099
366,1365
227,469
716,1178
998,2222
537,969
276,696
147,2014
1932,2403
306,147
1540,110
928,238
771,77
2129,1262
176,1610
138,1331
179,1637
1029,33
74,1552
829,444
363,581
1566,227
579,1120
901,438
1677,1444
2159,99
1396,880
1572,2166
419,1610
1653,507
1009,1219
1744,2476
2323,440
985,1196
2242,1521
2305,643
1160,171
339,2
801,2057
1606,946
1760,2481
1015,105
1978,181
972,193
466,337
251,2326
1016,138
320,2119
1362,594
175,1343
1307,232
185,2083
237,1956
808,241
123,1313
939,2148
2341,1392
1139,2164
1116,410
1615,305
1790,1836
717,1571
1078,914
1096,1730
1300,1
1560,2402
37,1866
247,1564
1147,2186
217,1154
2142,2401
674,1639
1680,2267
801,389
804,22
2166,846
21,2060
2319,1760
1189,615
337,1501
1160,77
1196,159
1192,263
1271,2161
1251,253
283,849
1239,1944
786,1879
1354,2127
574,12
2113,2401
2170,1196
659,110
239,1723
1467,1465
337,501
2326,2403
1699,2437
1558,1137
651,1159
221,998
43,1737
774,1150
2047,439
41,1391
359,1278
2286,1312
14,1202
395,2319
1037,149
2286,1634
196,418
696,112
890,231
188,1635
1320,2469
1873,2247
549,726
1347,278
200,1700
190,1558
730,561
635,1039
860,2456
1703,575
1493,2446
312,1890
979,572
1438,1548
1464,2403
1387,29
1601,25
44,530
1100,2268
1827,2445
1363,2379
382,2437
1694,1721
2460,2487
549,1259
946,1323
570,280
1776,2237
19,1599
1335,2246
1275,348
277,241
1516,186
1827,2224
2471,2353
1837,1218
2484,2402
1747,2375
46,1532
371,1271
236,1911
1701,2293
1336,161
473,2039
885,1841
40,1201
2365,1810
1928,2496
501,235
1849,2028
1683,1103
144,1723
209,1869
322,224
275,1770
1682,565
1857,2437
857,706
1714,537
33,326
2084,2441
2140,2392
177,625
735,32
1049,1805
1698,2271
2125,2266
1424,2241
1535,1994
775,1710
220,2054
143,1958
2176,1214
872,19
965,34
680,23
1055,460
324,108
934,2247
273,383
274,552
454,781
2,2492
568,378
1778,2308
1045,1991
777,753
983,75
527,1181
2314,973
359,1500
332,1260
1539,752
354,1647
2197,2358
1362,2333
593,472
412,897
248,1778
1206,864
2015,2315
1544,2307
799,518
160,306
2231,2325
1108,197
1868,1076
745,767
1953,2242
307,1369
1505,1334
21,1459
888,1760
289,2185
585,217
2409,2489
290,1377
902,897
1519,1775
2058,2294
1963,436
1683,2290
285,560
1065,1494
1437,202
271,1693
255,1313
1182,1861
2261,1782
1663,2396
1550,1355
2091,1350
1929,2470
2013,631
1073,1885
948,959
758,2163
36,2457
1259,2202
2361,1550
165,2269
975,2200
1365,2384
542,1380
1289,1296
158,2042
1712,402
2453,2412
165,1760
2086,552
352,1391
429,1520
695,2420
257,1489
1513,2347
271,1446
352,1358
2485,1621
206,1367
2393,1003
484,524
2016,2336
1624,1926
525,318
1876,2370
865,1901
2300,967
2096,681
543,1673
2223,2047
1358,2222
1241,2249
1551,447
2498,1196
1910,2481
1300,2300
129,281
324,1873
1456,1087
1180,227
16,1266
1931,2354
484,842
41,1302
2286,1670
2438,2266
348,2036
1686,2447
8,2014
1003,366
2278,1097
18,2131
81,1267
2119,489
2164,2061
2439,1168
2037,1920
1581,194
1487,2373
43,1822
332,923
1580,2485
1177,79
1894,2417
1073,233
114,1258
1819,1112
1055,51
1735,2201
320,290
2324,2097
1328,399
629,1225
655,339
155,348
2201,2366
2430,2203
1248,619
1667,326
1484,2282
684,223
2267,1896
86,2236
1699,2454
2098,1482
272,1924
203,1689
507,481
418,1913
226,1304
1067,897
1031,39
614,138
2010,339
899,226
1879,2441
215,243
557,1500
978,1193
1679,1298
2333,1241
1338,2393
2409,2146
1994,1712
1090,2366
103,1483
1966,2461
1846,2310
348,1518
680,534
169,1617
800,318
298,1274
2474,638
772,824
1377,1216
740,370
2276,2395
1695,2171
1876,969
1600,2314
963,228
318,1224
1795,220
1473,255
2197,408
2149,566
2422,2241
1515,1902
49,2442
1319,428
1361,437
248,2007
447,1023
2093,1178
1215,415
1681,1978
656,1419
649,1876
2389,1109
2473,1263
739,33
1768,1627
2130,781
221,1393
200,2028
1770,356
11,258
55,1020
1696,359
1971,2228
606,2382
2430,2234
2300,930
1115,617
1052,75
487,2022
956,1031
1824,2306
1177,402
942,314
1406,2467
1638,2148
1038,29
1151,523
90,2073
2424,1223
2058,2449
692,1207
2234,2469
972,356
1744,224
1108,471
1296,814
270,1494
1594,1024
2410,205
286,1954
485,1338
967,1888
275,647
122,1737
1929,2320
1449,1166
270,1586
2463,587
1229,141
880,514
2428,1697
2196,2335
204,1843
536,1862
569,1202
1774,2296
320,2495
322,702
1060,4
575,2199
2010,575
88,1226
165,1449
6,1672
2243,2431
1708,2356
1069,74
